"","orig","des_old","des_new"
"Q47U57","Putative exopolysaccharide biosynthesis protein ","Putative exopolysaccharide biosynthesis protein ","Putative exopolysaccharide biosynthesis protein "
"Q47U58","Chain length determinant family protein ","Chain length determinant family protein ","Chain length determinant family protein "
"Q47U59","Polysaccharide biosynthesis/export protein ","Polysaccharide biosynthesis/export protein ","Polysaccharide biosynthesis/export protein "
"Q47U61","Bacterial sugar transferase domain protein ","Bacterial sugar transferase domain protein ","Bacterial sugar transferase domain protein "
"Q47U62","Polysaccharide deacetylase family protein ","Polysaccharide deacetylase family protein ","Polysaccharide deacetylase family protein "
"Q47U63","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47U64","Glycosyl transferase, group 2 family protein ","Glycosyl transferase, group 2 family protein ","Glycosyl transferase, group 2 family protein "
"Q47U65","Serine acetyltransferase ","Serine acetyltransferase ","Serine acetyltransferase "
"Q47U66","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein "
"Q47U67","Polysaccharide deacetylase family protein ","Polysaccharide deacetylase family protein ","Polysaccharide deacetylase family protein "
"Q47U68","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein "
"Q47U69","Putative polysaccharide biosynthesis protein ","Putative polysaccharide biosynthesis protein ","Putative polysaccharide biosynthesis protein "
"Q47U73","Uncharacterized protein ","Uncharacterized protein ","Glycosyltransferase subfamily 4-like N-terminal domain-containing protein "
"Q47U74","FemAB family protein ","FemAB family protein ","FemAB family protein "
"Q47U77","Uncharacterized protein ","Uncharacterized protein ","N-acetyltransferase domain-containing protein "
"Q47U78","Uncharacterized protein ","Uncharacterized protein ","Squalene cyclase C-terminal domain-containing protein "
"Q47U82","Acyltransferase family protein ","Acyltransferase family protein ","Acyltransferase family protein "
"Q47U83","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein "
"Q47U84","Asparagine synthase family protein ","Asparagine synthase family protein ","asparagine synthase (glutamine-hydrolyzing) "
"Q47U85","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein "
"Q47U93","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47U94","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47U96","Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase ","Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase ","mannose-1-phosphate guanylyltransferase "
"Q47U97","Uncharacterized protein ","Uncharacterized protein ","Methyladenine glycosylase "
"Q47U98","Oligopeptidase A ","Oligopeptidase A ","oligopeptidase A "
"Q47U99","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein "
"Q47UA0","Glutathione reductase ","Glutathione reductase ","Glutathione reductase "
"Q47UA4","Uncharacterized protein ","Uncharacterized protein ","DUF4399 domain-containing protein "
"Q47UA6","DNA polymerase I ","DNA polymerase I ","DNA polymerase I "
"Q47UA8","ATP-dependent DNA helicase RecG ","ATP-dependent DNA helicase RecG ","ATP-dependent DNA helicase RecG "
"Q47UA9","tRNA (guanosine(18)-2_-O)-methyltransferase ","tRNA (guanosine(18)-2'-O)-methyltransferase ","tRNA (guanosine(18)-2'-O)-methyltransferase "
"Q47UB0","Putative endoribonuclease L-PSP ","Putative endoribonuclease L-PSP ","Putative endoribonuclease L-PSP "
"Q47UB1","Guanosine-3,5-bis(Diphosphate) 3-pyrophosphohydrolase ","Guanosine-3,5-bis(Diphosphate) 3-pyrophosphohydrolase ","guanosine-3',5'-bis(diphosphate) 3'-diphosphatase "
"Q47UB2","DNA-directed RNA polymerase subunit omega ","DNA-directed RNA polymerase subunit omega ","DNA-directed RNA polymerase subunit omega "
"Q47UB3","Guanylate kinase ","Guanylate kinase ","Guanylate kinase "
"Q47UB4","Aminotransferase ","Aminotransferase ","Aminotransferase "
"Q47UB7","Uncharacterized protein ","Uncharacterized protein ","Plasmid transfer operon, TraF, protein "
"Q47UB9","Putative transcription accessory protein ","Putative transcription accessory protein ","Putative transcription accessory protein "
"Q47UC0","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47UC2","Uncharacterized protein ","Uncharacterized protein ","Porin domain-containing protein "
"Q47UC3","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47UC4","Putative esterase ","Putative esterase ","Putative esterase "
"Q47UC7","Uncharacterized protein ","Uncharacterized protein ","Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein "
"Q47UC8","Cytosol aminopeptidase family protein ","Cytosol aminopeptidase family protein ","Cytosol aminopeptidase family protein "
"Q47UC9","Exonuclease ","Exonuclease ","Exonuclease "
"Q47UD0","CBS domain protein ","CBS domain protein ","CBS domain protein "
"Q47UD2","Sodium/solute symporter family protein ","Sodium/solute symporter family protein ","Sodium/solute symporter family protein "
"Q47UD3","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47UD6","Sensory box sensor/GGDEF/EAL domain protein ","Sensory box sensor/GGDEF/EAL domain protein ","Sensory box sensor/GGDEF/EAL domain protein "
"Q47UE0","Bifunctional protein GlmU ","Bifunctional protein GlmU ","Bifunctional protein GlmU "
"Q47UE1","Transcriptional regulator, DeoR family ","Transcriptional regulator, DeoR family ","Transcriptional regulator, DeoR family "
"Q47UE2","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] ","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] ","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] "
"Q47UE3","Sensory box/GGDEF domain protein ","Sensory box/GGDEF domain protein ","diguanylate cyclase "
"Q47UE6","Uncharacterized protein ","Uncharacterized protein ","PEP-CTERM protein-sorting domain-containing protein "
"Q47UE8","Substrate-binding transcriptional regulator, LysR family ","Substrate-binding transcriptional regulator, LysR family ","Substrate-binding transcriptional regulator, LysR family "
"Q47UE9","Amino acid ABC transporter, ATP-binding protein ","Amino acid ABC transporter, ATP-binding protein ","Amino acid ABC transporter, ATP-binding protein "
"Q47UF0","Amino acid ABC transporter, permease protein ","Amino acid ABC transporter, permease protein ","Amino acid ABC transporter, permease protein "
"Q47UF1","Amino acid ABC transporter, periplasmic amino acid-binding protein ","Amino acid ABC transporter, periplasmic amino acid-binding protein ","Amino acid ABC transporter, periplasmic amino acid-binding protein "
"Q47UF2","Uncharacterized protein ","Uncharacterized protein ","Thioesterase "
"Q47UF4","Cytochrome c family protein ","Cytochrome c family protein ","Cytochrome c-551 "
"Q47UF5","Oxidoreductase, molybdopterin-binding ","Oxidoreductase, molybdopterin-binding ","Oxidoreductase, molybdopterin-binding "
"Q47UF6","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein "
"Q47UF7","Methyl-accepting chemotaxis protein/sensory box protein ","Methyl-accepting chemotaxis protein/sensory box protein ","Methyl-accepting chemotaxis protein/sensory box protein "
"Q47UF9","Sensory box sensor histidine kinase ","Sensory box sensor histidine kinase ","histidine kinase "
"Q47UG2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47UG4","Oxidoreductase, aldo/keto reductase family ","Oxidoreductase, aldo/keto reductase family ","Oxidoreductase, aldo/keto reductase family "
"Q47UG5","Transcriptional regulator, AsnC family ","Transcriptional regulator, AsnC family ","Transcriptional regulator, AsnC family "
"Q47UG7","Amidohydrolase family protein ","Amidohydrolase family protein ","Amidohydrolase family protein "
"Q47UG8","Putative C4-dicarboxylate-binding periplasmic protein DctP ","Putative C4-dicarboxylate-binding periplasmic protein DctP ","Putative C4-dicarboxylate-binding periplasmic protein DctP "
"Q47UG9","C4-dicarboxylate transporter family protein, DctQ subunit ","C4-dicarboxylate transporter family protein, DctQ subunit ","TRAP transporter small permease protein "
"Q47UH1","Metallopeptidase, M24 family ","Metallopeptidase, M24 family ","Metallopeptidase, M24 family "
"Q47UH6","Glutamine amidotransferase, class I ","Glutamine amidotransferase, class I ","Glutamine amidotransferase, class I "
"Q47UH8","M","M","M"
"Q47UH9","Putative transcriptional regulator ","Putative transcriptional regulator ","Putative transcriptional regulator "
"Q47UI2","Uncharacterized protein ","Uncharacterized protein ","Transcriptional antiterminator, Rof "
"Q47UJ0","Uncharacterized protein ","Uncharacterized protein ","Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain-containing protein "
"Q47UJ1","Putative glcG protein ","Putative glcG protein ","Putative glcG protein "
"Q47UJ3","Transcriptional regulator, IclR family ","Transcriptional regulator, IclR family ","HTH-type transcriptional repressor AllR "
"Q47UJ6","Putative threonine dehydratase, catabolic ","Putative threonine dehydratase, catabolic ","Putative threonine dehydratase, catabolic "
"Q47UJ7","Putative threonine aldolase ","Putative threonine aldolase ","Putative threonine aldolase "
"Q47UJ8","Putative ornithine cyclodeaminase ","Putative ornithine cyclodeaminase ","Putative ornithine cyclodeaminase "
"Q47UK0","Uncharacterized protein ","Uncharacterized protein ","Kinase inhibitor "
"Q47UK4","Uncharacterized protein ","Uncharacterized protein ","Nucleoside-binding protein "
"Q47UK5","Aminotransferase, class V ","Aminotransferase, class V ","Aminotransferase, class V "
"Q47UK6","Putative acetoin utilization protein AcuB ","Putative acetoin utilization protein AcuB ","Putative acetoin utilization protein AcuB "
"Q47UK7","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family ","Transcriptional regulator, TetR family "
"Q47UK9","Malate synthase G ","Malate synthase G ","Malate synthase G "
"Q47UL0","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47UL1","Guanine deaminase ","Guanine deaminase ","Guanine deaminase "
"Q47UL2","Ureidoglycolate lyase ","Ureidoglycolate lyase ","Ureidoglycolate hydrolase "
"Q47UL3","5-hydroxyisourate hydrolase ","5-hydroxyisourate hydrolase ","5-hydroxyisourate hydrolase "
"Q47UL4","Uncharacterized protein ","Uncharacterized protein ","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase "
"Q47UL5","Probable allantoicase ","Probable allantoicase ","Probable allantoicase "
"Q47UL6","Putative allantoinase ","Putative allantoinase ","Putative allantoinase "
"Q47UL8","Xanthine dehydrogenase, molybdopterin binding subunit ","Xanthine dehydrogenase, molybdopterin binding subunit ","Xanthine dehydrogenase, molybdopterin binding subunit "
"Q47UL9","Xanthine dehydrogenase, iron-sulfur binding subunit ","Xanthine dehydrogenase, iron-sulfur binding subunit ","Xanthine dehydrogenase, iron-sulfur binding subunit "
"Q47UM3","Uncharacterized protein ","Uncharacterized protein ","CBM11 domain-containing protein "
"Q47UM6","Cation efflux system protein CusB ","Cation efflux system protein CusB ","Cation efflux system protein CusB "
"Q47UN0","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47UN1","ISCps5, transposase ","ISCps5, transposase ","ISCps5, transposase "
"Q47UN6","L-threonine dehydratase ","L-threonine dehydratase ","L-threonine dehydratase "
"Q47UN7","Dihydroxy-acid dehydratase ","Dihydroxy-acid dehydratase ","Dihydroxy-acid dehydratase "
"Q47UN8","Branched-chain-amino-acid aminotransferase ","Branched-chain-amino-acid aminotransferase ","Branched-chain-amino-acid aminotransferase "
"Q47UN9","Acetolactate synthase II, small subunit ","Acetolactate synthase II, small subunit ","Acetolactate synthase II, small subunit "
"Q47UP0","Acetolactate synthase ","Acetolactate synthase ","Acetolactate synthase "
"Q47UP2","Competence protein ComM ","Competence protein ComM ","Competence protein ComM "
"Q47UP4","Ketol-acid reductoisomerase (NADP(+)) ","Ketol-acid reductoisomerase (NADP(+)) ","Ketol-acid reductoisomerase (NADP(+)) "
"Q47UP5","Pyrimidine/purine nucleoside phosphorylase ","Pyrimidine/purine nucleoside phosphorylase ","Pyrimidine/purine nucleoside phosphorylase "
"Q47UP6","SPFH domain/Band 7 domain protein ","SPFH domain/Band 7 domain protein ","SPFH domain/Band 7 domain protein "
"Q47UP7","Uncharacterized protein ","Uncharacterized protein ","NfeD-like C-terminal domain-containing protein "
"Q47UP8","Putative heat shock protein 70 family protein ","Putative heat shock protein 70 family protein ","Putative heat shock protein 70 family protein "
"Q47UP9","Uncharacterized protein ","Uncharacterized protein ","Fis family transcriptional regulator "
"Q47UQ0","Gamma-glutamyl phosphate reductase ","Gamma-glutamyl phosphate reductase ","Gamma-glutamyl phosphate reductase "
"Q47UQ1","Glutamate 5-kinase ","Glutamate 5-kinase ","Glutamate 5-kinase "
"Q47UQ4","Mechanosensitive ion channel ","Mechanosensitive ion channel ","Mechanosensitive ion channel "
"Q47UQ6","Acyl-CoA thioesterase II ","Acyl-CoA thioesterase II ","Acyl-CoA thioesterase II "
"Q47UQ8","Der GTPase-activating protein YihI ","Der GTPase-activating protein YihI ","Der GTPase-activating protein YihI "
"Q47UQ9","Uncharacterized protein ","Uncharacterized protein ","DUF2489 domain-containing protein "
"Q47UR0","Coproporphyrinogen-III oxidase ","Coproporphyrinogen-III oxidase ","Coproporphyrinogen-III oxidase "
"Q47UR1","Ribosome modulation factor 2 ","Ribosome modulation factor 2 ","Ribosome modulation factor 2 "
"Q47UR3","Uncharacterized protein ","Uncharacterized protein ","DUF3083 domain-containing protein "
"Q47UR4","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q47UR6","Peptide methionine sulfoxide reductase MsrA ","Peptide methionine sulfoxide reductase MsrA ","Peptide methionine sulfoxide reductase MsrA "
"Q47UR8","Uncharacterized protein ","Uncharacterized protein ","DUF1232 domain-containing protein "
"Q47UR9","Uncharacterized protein ","Uncharacterized protein ","DUF3667 domain-containing protein "
"Q47US0","Nicotinate-nucleotide pyrophosphorylase ","Nicotinate-nucleotide pyrophosphorylase ","nicotinate-nucleotide diphosphorylase (carboxylating) "
"Q47US1","Uncharacterized protein ","Uncharacterized protein ","TIGR02281 family clan AA aspartic protease "
"Q47US2","N-acetyl-anhydromuramyl-L-alanine amidase ","N-acetyl-anhydromuramyl-L-alanine amidase ","1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD "
"Q47US3","Putative inner membrane protein AmpE ","Putative inner membrane protein AmpE ","Putative inner membrane protein AmpE "
"Q47US4","Pyruvate dehydrogenase complex repressor ","Pyruvate dehydrogenase complex repressor ","Pyruvate dehydrogenase complex repressor "
"Q47US5","Pyruvate dehydrogenase E1 component ","Pyruvate dehydrogenase E1 component ","Pyruvate dehydrogenase E1 component "
"Q47US7","Acetyltransferase component of pyruvate dehydrogenase complex ","Acetyltransferase component of pyruvate dehydrogenase complex ","Acetyltransferase component of pyruvate dehydrogenase complex "
"Q47US8","Dihydrolipoyl dehydrogenase ","Dihydrolipoyl dehydrogenase ","Dihydrolipoyl dehydrogenase "
"Q47UT0","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47UT1","Putative aconitate hydratase ","Putative aconitate hydratase ","Putative aconitate hydratase "
"Q47UT3","Aconitate hydratase B ","Aconitate hydratase B ","Aconitate hydratase B "
"Q47UT5","UPF0176 protein CPS_4798 ","UPF0176 protein CPS_4798 ","tRNA uridine(34) hydroxylase "
"Q47UT6","Uncharacterized protein ","Uncharacterized protein ","Dienelactone hydrolase domain-containing protein "
"Q47UT7","Uncharacterized protein ","Uncharacterized protein ","Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein "
"Q47UT8","RIO1/ZK632.3/MJ0444 family protein ","RIO1/ZK632.3/MJ0444 family protein ","non-specific serine/threonine protein kinase "
"Q47UT9","Putative voltage-gated potassium channel ","Putative voltage-gated potassium channel ","Putative voltage-gated potassium channel "
"Q47UU0","Uncharacterized protein ","Uncharacterized protein ","Polyketide cyclase/dehydrase "
"Q47UU1","DNA topoisomerase III ","DNA topoisomerase III ","DNA topoisomerase "
"Q47UU2","Putative oar protein ","Putative oar protein ","Putative oar protein "
"Q47UU4","Beta-ketoacyl-ACP synthase family protein ","Beta-ketoacyl-ACP synthase family protein ","Beta-ketoacyl-ACP synthase family protein "
"Q47UU6","Sensory box putative digualylate cyclase ","Sensory box putative digualylate cyclase ","diguanylate cyclase "
"Q47UU7","Putative dUTP diphosphatase ","Putative dUTP diphosphatase ","Putative dUTP diphosphatase "
"Q47UU9","Elongation factor Tu ","Elongation factor Tu ","Elongation factor Tu "
"Q47UV0","Protein translocase subunit SecE ","Protein translocase subunit SecE ","Protein translocase subunit SecE "
"Q47UV1","Transcription termination/antitermination protein NusG ","Transcription termination/antitermination protein NusG ","Transcription termination/antitermination protein NusG "
"Q47UV2","Glycosyl hydrolase, family 9 ","Glycosyl hydrolase, family 9 ","Glycosyl hydrolase, family 9 "
"Q47UV4","OmpA family protein ","OmpA family protein ","OmpA family protein "
"Q47UV5","50S ribosomal protein L11 ","50S ribosomal protein L11 ","Large ribosomal subunit protein uL11 "
"Q47UV6","50S ribosomal protein L1 ","50S ribosomal protein L1 ","Large ribosomal subunit protein uL1 "
"Q47UV7","50S ribosomal protein L10 ","50S ribosomal protein L10 ","Large ribosomal subunit protein uL10 "
"Q47UV8","50S ribosomal protein L7/L12 ","50S ribosomal protein L7/L12 ","Large ribosomal subunit protein bL12 "
"Q47UV9","DNA-directed RNA polymerase subunit beta ","DNA-directed RNA polymerase subunit beta ","DNA-directed RNA polymerase subunit beta "
"Q47UW0","DNA-directed RNA polymerase subunit beta_ ","DNA-directed RNA polymerase subunit beta' ","DNA-directed RNA polymerase subunit beta' "
"Q47UW1","30S ribosomal protein S12 ","30S ribosomal protein S12 ","Small ribosomal subunit protein uS12 "
"Q47UW2","30S ribosomal protein S7 ","30S ribosomal protein S7 ","Small ribosomal subunit protein uS7 "
"Q47UW3","Elongation factor G 2 ","Elongation factor G 2 ","Elongation factor G 2 "
"Q47UW7","Phosphoadenosine phosphosulfate reductase ","Phosphoadenosine phosphosulfate reductase ","Phosphoadenosine 5'-phosphosulfate reductase "
"Q47UW8","Sulfite reductase [NADPH] hemoprotein beta-component ","Sulfite reductase [NADPH] hemoprotein beta-component ","Sulfite reductase [NADPH] hemoprotein beta-component "
"Q47UW9","Sulfite reductase [NADPH] flavoprotein alpha-component ","Sulfite reductase [NADPH] flavoprotein alpha-component ","Sulfite reductase [NADPH] flavoprotein alpha-component "
"Q47UX1","Uncharacterized protein ","Uncharacterized protein ","Outer membrane protein "
"Q47UX2","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47UX3","Uncharacterized protein ","Uncharacterized protein ","Copper chaperone PCu(A)C "
"Q47UX4","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein "
"Q47UX7","Phage shock protein A ","Phage shock protein A ","Phage shock protein A "
"Q47UY0","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding ","Oxidoreductase, zinc-binding "
"Q47UY1","Nitroreductase family protein ","Nitroreductase family protein ","Nitroreductase family protein "
"Q47UY2","UDP-N-acetylenolpyruvoylglucosamine reductase ","UDP-N-acetylenolpyruvoylglucosamine reductase ","UDP-N-acetylenolpyruvoylglucosamine reductase "
"Q47UY3","Bifunctional ligase/repressor BirA ","Bifunctional ligase/repressor BirA ","Bifunctional ligase/repressor BirA "
"Q47UY4","Type III pantothenate kinase ","Type III pantothenate kinase ","Type III pantothenate kinase "
"Q47UY5","5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase ","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase ","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase "
"Q47UY7","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47UY8","Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase ","Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase ","Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase "
"Q47UZ1","Uncharacterized protein ","Uncharacterized protein ","TraB/GumN family protein "
"Q47UZ2","Protein disulfide isomerase NosL ","Protein disulfide isomerase NosL ","Protein disulfide isomerase NosL "
"Q47UZ4","Copper ABC transporter, ATP-binding protein ","Copper ABC transporter, ATP-binding protein ","Copper ABC transporter, ATP-binding protein "
"Q47UZ5","Copper ABC transporter, periplasmic copper-binding protein ","Copper ABC transporter, periplasmic copper-binding protein ","Copper ABC transporter, periplasmic copper-binding protein "
"Q47UZ6","Nitrous-oxide reductase ","Nitrous-oxide reductase ","Nitrous-oxide reductase "
"Q47UZ7","Putative transcriptional regulator NosR ","Putative transcriptional regulator NosR ","Putative transcriptional regulator NosR "
"Q47UZ9","Glutaminase ","Glutaminase ","Glutaminase "
"Q47V00","Uncharacterized protein ","Uncharacterized protein ","Porin "
"Q47V01","Tyrosine--tRNA ligase ","Tyrosine--tRNA ligase ","Tyrosine--tRNA ligase "
"Q47V02","Peptidase, M23/M37 family ","Peptidase, M23/M37 family ","Peptidase, M23/M37 family "
"Q47V03","Anhydro-N-acetylmuramic acid kinase ","Anhydro-N-acetylmuramic acid kinase ","Anhydro-N-acetylmuramic acid kinase "
"Q47V05","Na+/H+ antiporter family protein ","Na+/H+ antiporter family protein ","Na+/H+ antiporter family protein "
"Q47V06","Asparaginase ","Asparaginase ","Asparaginase "
"Q47V09","Transporter, LysE family ","Transporter, LysE family ","Transporter, LysE family "
"Q47V10","Hydrogen peroxide-inducible genes activator ","Hydrogen peroxide-inducible genes activator ","Hydrogen peroxide-inducible genes activator "
"Q47V15","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47V16","Uncharacterized protein ","Uncharacterized protein ","DUF1318 domain-containing protein "
"Q47V17","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47V18","Uncharacterized protein ","Uncharacterized protein ","TIGR01777 family protein "
"Q47V23","Sensory box sensor histidine kinase ","Sensory box sensor histidine kinase ","histidine kinase "
"Q47V24","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family "
"Q47V27","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q47V29","Substrate-binding transcriptional regulator, LysR family ","Substrate-binding transcriptional regulator, LysR family ","Substrate-binding transcriptional regulator, LysR family "
"Q47V31","Uncharacterized protein ","Uncharacterized protein ","Putative adhesin domain-containing protein "
"Q47V32","Sensory box/GGDEF family protein ","Sensory box/GGDEF family protein ","Sensory box/GGDEF family protein "
"Q47V36","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47V37","Substrate-binding transcriptional regulator, LysR family ","Substrate-binding transcriptional regulator, LysR family ","Substrate-binding transcriptional regulator, LysR family "
"Q47V38","L-lactate permease ","L-lactate permease ","L-lactate permease "
"Q47V39","Cysteine-rich domain protein ","Cysteine-rich domain protein ","Cysteine-rich domain protein "
"Q47V40","Iron-sulfur cluster-binding protein ","Iron-sulfur cluster-binding protein ","Iron-sulfur cluster-binding protein "
"Q47V41","Uncharacterized protein ","Uncharacterized protein ","LUD domain-containing protein "
"Q47V42","Oxidoreductase, FAD-binding/iron-sulfur cluster-binding protein ","Oxidoreductase, FAD-binding/iron-sulfur cluster-binding protein ","D-lactate dehydrogenase (cytochrome) "
"Q47V47","GGDEF domain protein ","GGDEF domain protein ","diguanylate cyclase "
"Q47V49","Putative transcriptional regulator ","Putative transcriptional regulator ","Putative transcriptional regulator "
"Q47V51","Glutamine synthetase family protein ","Glutamine synthetase family protein ","Glutamine synthetase family protein "
"Q47V52","Oxidoreductase, FAD-dependent ","Oxidoreductase, FAD-dependent ","Oxidoreductase, FAD-dependent "
"Q47V53","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47V57","Putrescine-binding periplasmic protein ","Putrescine-binding periplasmic protein ","Putrescine-binding periplasmic protein "
"Q47V59","Aldehyde dehydrogenase family protein ","Aldehyde dehydrogenase family protein ","Aldehyde dehydrogenase family protein "
"Q47V61","Glutaryl-CoA dehydrogenase ","Glutaryl-CoA dehydrogenase ","glutaryl-CoA dehydrogenase (ETF) "
"Q47V63","Succinate-semialdehyde dehydrogenase ","Succinate-semialdehyde dehydrogenase ","Succinate-semialdehyde dehydrogenase "
"Q47V64","4-aminobutyrate aminotransferase ","4-aminobutyrate aminotransferase ","4-aminobutyrate aminotransferase "
"Q47V65","Aminotransferase, class III ","Aminotransferase, class III ","Aminotransferase, class III "
"Q47V67","Uncharacterized protein ","Uncharacterized protein ","Protein CsiD "
"Q47V68","FAD-dependent oxidoreductase ","FAD-dependent oxidoreductase ","FAD-dependent oxidoreductase "
"Q47V69","Probable D-serine dehydratase ","Probable D-serine dehydratase ","Probable D-serine dehydratase "
"Q47V73","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family "
"Q47V74","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein "
"Q47V76","Putative outer membrane protein ","Putative outer membrane protein ","Putative outer membrane protein "
"Q47V77","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q47V78","Efflux transporter, RND family, MFP subunit ","Efflux transporter, RND family, MFP subunit ","Efflux transporter, RND family, MFP subunit "
